gender,name,display_name,bio,favorites_count,followers_count,list_memberships,tweets_retweets_count,following_count,acct_created,location
f,b'BijalPTrivedi',b'Bijal P Trivedi',"b'Science journalist, author of Breath from Salt, former Pro-Am Ballroom competitor'",0,7,1,1,5,2020-09-08 21:43:21,b'Washington DC'
m,b'AbeMusselman',b'Abe Musselman',b'Science writer and science reader. SHERP 39. How do we put planet Earth back together?',180,34,1,23,83,2020-03-09 23:00:23,b''
f,b'casey_crownhart',b'CaseyCrownhart',"b'Reader, writer, plant mom \xf0\x9f\x8c\xb1 SHERP 39'",169,58,1,60,154,2019-10-27 16:36:49,b''
m,b'raorr108',b'Rahul Rao',"b'Freelance journalist, science writer, and some rando with a keyboard | SHERP 38'",14,59,3,4,40,2019-10-22 14:53:57,b'NYC'
f,b'Anu__Dave',b'Anu',b'Science and technology writer | #sherp38 @nyuniversity\xe2\x80\x9920 | MS #bioethics @mcgillu | #AAJA + #SAJA',210,258,2,51,332,2019-10-06 17:55:45,b'NYC via Canada \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 '
m,b'CurtisSegarra',b'Curtis K Segarra (CKSegarra)',"b'Science journalism intern @ScienceNews and editor @scienceline, previously @News_O_Matic | photography | NYU SHERP | He/him'",17,173,1,77,726,2019-09-10 20:12:01,"b'Albuquerque, NM'"
f,b'CorrynWetzel',b'Corryn Wetzel',b'Science journalist | SHERP 38',197,107,3,63,194,2019-09-10 18:30:07,"b'Brooklyn, NY'"
f,b'MManoylov',b'MK Manoylov',b'Editorial intern for @theblock__ | Cryptocurrency reporter | Wrote health pieces for @thisisinsider | SHERP 38 | they/them',91,88,1,63,138,2019-09-06 21:12:42,"b'Georgia, USA'"
m,b'LetoSapunar',b'Leto Sapunar',"b'Freelance science journalist, Fellowship reporter @insideclimate, Former intern @RetractionWatch, and NYU SHERP graduate student. BS Physics. Mountain man.'",253,103,1,35,144,2019-09-06 03:53:20,b''
f,b'AnnaGoshua',b'Anna Goshua',b'SHERP 39 @NYUniversity. Medical student @StanfordMed. Aro Ace. She/her. Writer. \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6',3293,330,4,631,233,2018-09-15 16:36:47,b'Sheltering in place '
f,b'donavyncoffey',b'donavyn',b'science journalist | bylines @medscape @PopSci | SHERP37 |',361,163,3,79,379,2018-05-06 02:47:07,"b'Manhattan, NY'"
f,b'SciSophie',b'Sophie Rowland',b'Science Writer | Microbiologist | Sourdough Starter Mom\nshe/her',17780,158,3,351,796,2018-02-02 21:40:42,"b'Boston, MA'"
n,b'Tara_Santora',b'Tara Santora (they/them)',b'freelance science journalist | fiction writer | fellow @FatherlyHQ  |  bylines @sciam @undarkmag @audubonsociety etc. | they/them \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88',6770,1002,14,1339,1707,2018-02-02 14:36:07,"b'Aurora, CO'"
f,b'RebeccaSohn2',b'Rebecca Sohn',"b'Freelance science journalist, poet, and amateur fiddler. Formerly intern at @CalMatters #SHERP @nyujournalism'",1041,154,4,117,466,2018-01-15 19:23:30,"b'New York, NY'"
f,b'KruppLexi',b'Lexi Krupp',b'Reporter @IPRNewsRadio. Covering science and environment. Stories in @sciencevs \xf0\x9f\x94\x8e @audubonsociety \xf0\x9f\xa6\x9c @popsci \xf0\x9f\xa7\xaa etc. She/Her \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 BLM',1037,387,3,263,1080,2017-08-31 17:46:07,b'Anishinaabe land'
f,b'chloewilliamscc',b'Chloe Williams',"b'Science journalist, outdoor enthusiast | past bylines @Spectrum, @hakaimagazine, @YaleE360, @PopSci, etc | Assistant Online Editor @PsychToday | SHERP 36'",490,232,4,211,723,2017-08-29 23:14:15,"b'Edmonton, Alberta'"
f,b'lauren_leffer',b'Lauren Leffer',b'NYU SHERP 39 / Former Bug Scientist/ Current Science Journalist / Pay me to write stuff (please)!',317,73,1,160,436,2017-08-28 21:09:30,"b'Brooklyn, New York'"
f,b'thisisAimeeC',b'Aimee Cunningham',"b'Health and biomedical reporter @ScienceNews. Wondering how to hike, hug trees, smell flowers and type words at the same time.'",1855,179,13,920,216,2017-07-27 15:11:36,"b'Washington, DC'"
f,b'_e_delger',b'Delger Erdenesanaa',"b'science writing @nyu_journalism, environment & development editing @worldresources, she/her'",646,257,4,159,537,2017-07-26 16:42:21,"b'Washington, DC'"
