date,National Defense,International Affairs,"General Science, Space, and Technology",Energy,Natural Resources and Environment,Agriculture,Commerce and Housing Credit,Transportation,Community and Regional Development,"Education, Training, Employment, and Social Services",Health,Medicare,Income Security,Social Security,Veterans Benefits and Services,Administration of Justice,General Government,Net Interest
1962,52345,5639,1723,604,2044,3562,1424,4290,469,1241,1198,0,9198,14365,5628,429,1049,6889
1963,53400,5308,3051,530,2251,4384,62,4596,574,1458,1451,0,9304,15788,5521,465,1230,7740
1964,54757,4945,4897,572,2364,4609,418,5242,933,1555,1788,0,9650,16620,5682,489,1518,8199
1965,50620,5273,5823,699,2531,3954,1157,5763,1114,2140,1791,0,9462,17460,5723,536,1499,8591
1966,58111,5580,6717,612,2719,2447,3245,5730,1105,4363,2543,64,9671,20694,5923,564,1603,9386
1967,71417,5566,6233,782,2869,2990,3979,5936,1108,6453,3351,2748,10253,21725,6743,618,1719,10268
1968,81926,5301,5524,1037,2988,4544,4280,6316,1382,7634,4390,4649,11806,23854,7042,659,1757,11090
1969,82497,4600,5020,1010,2900,5826,-119,6526,1552,7548,5162,5695,13066,27298,7642,766,1939,12699
1970,81692,4330,4511,997,3065,5166,2112,7008,2392,8634,5907,6213,15645,30270,8679,959,2320,14380
1971,78872,4159,4182,1035,3915,4290,2366,8052,2917,9849,6843,6622,22936,35872,9778,1307,2442,14841
1972,79174,4781,4175,1296,4241,5227,2222,8392,3423,12529,8674,7479,27638,40157,10732,1684,2960,15478
1973,76681,4149,4032,1237,4775,4821,931,9066,4605,12744,9356,8052,28265,49090,12015,2174,9774,17349
1974,79347,5710,3980,1303,5697,2194,4705,9172,4229,12455,10733,9639,33700,55867,13388,2505,10032,21449
1975,86509,7097,3991,2916,7346,2997,9947,10918,4322,16022,12930,12875,50161,64658,16599,3028,10374,23244
1976,89619,6433,4373,4204,8184,3109,7619,13739,5442,18910,15734,15834,60784,73899,18433,3430,9706,26727
1977,97241,6353,4736,5770,10032,6734,3093,14829,7021,21104,17302,19345,61045,85061,18038,3701,12791,29901
1978,104495,7482,4926,7991,10983,11301,6254,15521,11841,26706,18524,22768,61492,93861,18978,3923,11961,35458
1979,116342,7459,5234,9179,12135,11176,4686,18079,10480,30218,20494,26495,66364,104073,19931,4286,12241,42633
1980,133995,12714,5831,10156,13858,8774,9390,21329,11252,31835,23169,32090,86548,118547,21185,4702,12975,52533
1981,157513,13104,6468,15166,13568,11241,8206,23379,10568,33146,26866,39149,100286,139584,22991,4908,11373,68766
1982,185309,12300,7199,13527,12998,15866,6256,20625,8347,26609,27445,46567,108138,155964,23958,4842,10861,85032
1983,209903,11848,7934,9353,12672,22807,6681,21334,7564,26192,28643,52588,123018,170724,24846,5246,11181,89808
1984,227411,15869,8311,7073,12586,13477,6959,23669,7673,26913,30420,57540,113378,178223,25601,5811,11746,111102
1985,252743,16169,8622,5608,13345,25427,4337,25838,7676,28584,33546,65822,129002,188623,26281,6426,11515,129478
1986,273373,14146,8962,4690,13628,31319,5058,28113,7233,29771,35935,70164,120656,198756,26343,6735,12491,136017
1987,281996,11645,9200,4072,13355,26466,6434,26222,5049,28915,39967,75120,124105,207352,26761,7715,7487,138611
1988,290360,10466,10820,2296,14601,17088,19163,27272,5293,30939,44471,78878,130387,219341,29409,9397,9399,151803
1989,303555,9583,12821,2705,16169,16698,29709,27608,5362,35314,48390,84964,137554,232542,30038,9644,9317,168981
1990,299321,13758,14426,3341,17055,11637,67599,29485,8531,37167,57700,98102,148783,248623,29088,10185,10462,184347
1991,273285,15846,16092,2436,18544,14886,76270,31099,6810,41260,71139,104489,172589,269014,31319,12486,11568,194448
1992,298346,16090,16389,4499,20001,14922,10918,33332,6836,42807,89415,119024,199657,287584,34112,14650,12883,199344
1993,291084,17218,17006,4319,20224,20081,-21853,35004,9146,47455,99321,130552,210088,304585,35690,15193,12944,198713
1994,281640,17067,16189,5218,21000,14795,-4228,38066,10620,43337,107051,144747,217233,319565,37617,15516,11159,202932
1995,272063,16429,16692,4936,21889,9671,-17808,39350,10746,51067,115352,159855,223758,335846,37910,16508,13799,232134
1996,265748,13487,16684,2839,21503,9035,-10478,39565,10741,48334,119342,174225,229699,349671,37003,17898,11755,241053
1997,270502,15173,17136,1475,21201,8889,-14640,40767,11049,49014,123790,190016,234986,365251,39332,20617,12547,243984
1998,268194,13054,18172,1270,22278,12077,1007,40343,9771,50534,131403,192822,237698,379215,41793,23359,15544,241118
1999,274769,15239,18084,911,23943,22879,2641,42532,11865,50608,141045,190447,242417,390037,43216,26536,15363,229755
2000,294363,17213,18594,-761,25003,36458,3207,46853,10623,53766,154502,197113,253673,409423,47040,28499,13013,222949
2001,304732,16485,19753,9,25532,26252,5731,54447,11773,57089,172238,217384,269724,432958,45024,30201,14358,206167
2002,348456,22315,20734,475,29426,21965,-407,61833,12981,70592,196471,230855,312670,455980,50979,35061,16951,170949
2003,404733,21199,20831,-725,29667,22496,727,67069,18850,82733,219605,249433,334574,474680,56832,35340,23164,153073
2004,455813,26870,23029,-147,30694,15439,5265,64627,15820,87997,240148,269360,333027,495548,59729,45576,22338,160245
