LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDEXPRD,TOT,MLN_USD,A,1981,3538.817366,
AUS,GDEXPRD,TOT,MLN_USD,A,1984,4320.861608,
AUS,GDEXPRD,TOT,MLN_USD,A,1986,5309.003936,
AUS,GDEXPRD,TOT,MLN_USD,A,1987,5416.782093,
AUS,GDEXPRD,TOT,MLN_USD,A,1988,5753.76524,
AUS,GDEXPRD,TOT,MLN_USD,A,1990,6426.891919,
AUS,GDEXPRD,TOT,MLN_USD,A,1992,7790.997713,
AUS,GDEXPRD,TOT,MLN_USD,A,1994,8685.979878,
AUS,GDEXPRD,TOT,MLN_USD,A,1996,9838.45357,
AUS,GDEXPRD,TOT,MLN_USD,A,1998,9818.693684,
AUS,GDEXPRD,TOT,MLN_USD,A,2000,10686.70111,
AUS,GDEXPRD,TOT,MLN_USD,A,2002,12778.74546,
AUS,GDEXPRD,TOT,MLN_USD,A,2004,14403.38517,
AUS,GDEXPRD,TOT,MLN_USD,A,2006,17798.94095,
AUS,GDEXPRD,TOT,MLN_USD,A,2008,21073.90913,
AUS,GDEXPRD,TOT,MLN_USD,A,2010,21417.15407,
AUS,GDEXPRD,TOT,MLN_USD,A,2011,21560.02223,
AUS,GDEXPRD,TOT,MLN_USD,A,2013,22461.55505,
AUS,GDEXPRD,TOT,MLN_USD,A,2015,21151.51702,
AUS,GDEXPRD,TOT,MLN_USD,A,2017,21218.1696,
AUS,GDEXPRD,TOT,PC_GDP,A,1981,0.902547633,
AUS,GDEXPRD,TOT,PC_GDP,A,1984,1.023909232,
AUS,GDEXPRD,TOT,PC_GDP,A,1986,1.179140941,
AUS,GDEXPRD,TOT,PC_GDP,A,1987,1.137762821,
AUS,GDEXPRD,TOT,PC_GDP,A,1988,1.163575317,
AUS,GDEXPRD,TOT,PC_GDP,A,1990,1.259897992,
AUS,GDEXPRD,TOT,PC_GDP,A,1992,1.462121383,
AUS,GDEXPRD,TOT,PC_GDP,A,1994,1.50973215,
AUS,GDEXPRD,TOT,PC_GDP,A,1996,1.583391649,
