,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,2366.681181,2515.244661,2610.953121,2726.645378,2799.474701,2958.104363,3016.578775,3216.40311,3394.227048,3667.576921,4009.608753,4056.631742,4126.508963,4457.238314,4636.904189,4904.11634,5241.618658,5680.769051,6269.502894,6623.921608,7085.144156,7469.259021,7935.803559,8121.2149,9097.434016,9356.091982,9948.376862,10723.95105,10429.84479,11150.58846,11234.75622,12354.04795,12527.6284,13162.56524,13146.95828,13726.80503,13749.34753,14501.69475,14937.26339,
Canada,8603.340583,9305.527935,9333.17935,10140.64693,10915.48527,11443.91708,11513.62449,11871.92733,12731.03934,13271.92193,13519.09681,14027.14479,14882.42062,16063.13087,16194.50326,15988.48902,16745.24285,18440.02297,19838.03308,22160.62382,24531.90199,24653.82725,25048.48547,26209.17318,26695.64505,27006.31064,27006.55189,26592.81907,26672.13148,26174.99603,26434.3872,26676.9329,26267.47364,27160.29517,27005.51714,27847.57601,27735.50471,26497.10864,26587.57433,
DNK,1524.253137,1639.12158,1758.374067,1876.950744,2007.466276,2247.97231,2418.656265,2556.442488,2654.001001,2826.820062,2987.504926,3104.957772,3252.422255,3735.47159,3881.701348,4191.249022,4549.658259,4967.336605,5677.02292,5990.017093,6184.315344,6117.485295,6193.687307,6461.942101,6825.727532,7487.414471,7843.183996,7628.82798,7803.914435,7918.796022,7963.842941,7939.184773,8517.953936,8903.452397,8959.366151,9121.792978,0,0,0,
FIN,1318.879247,1420,1592.56084,1807.615623,1981.687608,2148.67516,2347.59638,2514.826294,2689.360087,2819.323591,2869.886253,2905.333678,2934.390251,3222.306641,3345.015906,3858.1165,4385.223647,4911.7921,5627.316725,6312.869953,6382.378206,6611.971157,6838.049835,7134.442483,7365.165021,7681.286663,8100.179642,8652.784094,8397.248177,8598.17557,8609.578004,7973.684974,7606.573603,7291.857816,6689.666886,6521.157254,6753.914546,6913.588158,0,
FRA,27358.58688,29237.25613,30168.62742,32012.90939,33424.43103,34021.6923,35582.26419,37114.02211,39488.02803,42112.65229,42616.16419,43404.54602,43806.56295,43865.32971,44249.48754,44508.70153,43995.09019,44465.20965,46269.94033,47761.30741,49746.04166,51168.68657,50295.51493,51100.9314,50881.70654,52113.5358,52689.42188,53780.18782,56058.97627,56286.4992,57865.0222,58985.16644,59590.41212,61206.11376,61645.65671,61093.61445,61962.02587,62771.27474,0,
DEU,45439.70802,46581.4719,47097.58991,48814.72977,53176.99896,55345.85687,58194.02549,60389.94933,62323.11116,63050.42761,67984.04602,65996.02583,63421.42899,62596.91589,63823.6262,64631.27534,67124.82277,69350.31337,74860.53508,79062.84399,80223.44611,81124.7743,81815.26049,81469.80164,82285.00875,86486.85156,88641.32129,95119.41234,94074.63923,97561.98965,104187.1333,107462.5134,106212.3355,110178.6779,114128.177,117109.8317,125175.4645,129647.1399,0,
HUN,0,0,0,0,0,0,0,0,0,0,1710.239352,1631.646778,1505.924379,1411.649598,1181.224085,1055.496447,1207.315951,1179.301684,1242.808245,1528.653261,1836.604957,2072.103409,2014.433385,1979.600851,2207.75347,2439.297964,2388.677092,2471.506768,2663.895797,2697.998202,2864.464142,2999.514548,3364.602139,3410.282587,3534.537665,3192.593269,3727.61826,4509.981334,0,
IRL,423.0685846,430.113378,414.2049336,470.4122758,525.551838,567.6632137,591.443066,598.750653,636.3107855,714.4218528,821.3040411,942.7645188,1095.778134,1254.037021,1384.204707,1542.89599,1674.89599,1771.28926,1866.385169,1921.537166,1963.461747,2085.600464,2287.885644,2559.22416,2737.568075,2889.793367,3132.263525,3366.529653,3703.394213,3731.336657,3671.358042,3681.077148,3741.848683,3951.146963,3840.417856,3934.232682,4503.174538,3927.714037,0,
ITA,12538.44734,12930.37899,13774.1992,15109.87091,17260.8288,17915.4889,19399.29465,20654.98312,21674.65995,22859.51953,22068.54063,21504.98732,20303.20708,19358.77807,18954.10114,19447.79821,20678.5849,21419.15682,21242.75987,22564.05112,23853.93251,24845.9314,24367.3548,24511.40623,24573.04775,25962.95062,27442.36582,27918.21096,27769.80101,28247.79134,28064.04629,28601.65032,28939.98465,29768.96865,30002.89459,31024.85487,31627.98413,33181.90653,0,
JPN,55235.80328,59340.46532,64710.17545,70331.76168,78704.43645,80151.8566,85897.64317,92535.81646,101059.2453,109183.5494,111662.2469,110487.991,107630.3002,106418.7396,113277.9083,120536.2816,125345.8671,128582.6237,129115.973,133294.5308,136882.7705,138986.1258,142468.5352,144966.6428,154745.7807,161751.1105,167493.8319,165542.3688,151612.7898,153356.9848,158438.4146,159038.8245,167572.0807,172526.0056,168546.1195,163035.0368,169213.4214,173313.4118,0,
KOR,0,0,0,0,0,0,0,0,0,0,10085.91284,11230.83592,13042.6482,15480.49442,17310.2166,19131.76725,20594.78459,18314.05042,19490.18846,22396.70368,25179.13473,26280.25386,27960.47006,31543.79036,33990.9138,38566.2917,43102.34081,46198.49063,49023.33968,55172.88513,61971.73953,68026.1989,72016.878,76705.02825,76932.39055,79375.42598,88147.68733,95461.74999,0,
MEX,0,0,0,0,0,0,0,0,0,0,0,0,2322.408833,3218.206382,3170.883385,3449.263723,4060.769196,4668.764859,5466.843891,5104.062391,5383.062268,5880.804114,6619.92749,6792.385881,7133.104476,6907.088477,7622.535849,8591.055104,8790.827857,9535.773944,9414.493752,8715.371812,8918.741343,9394.535017,9577.903052,8896.543342,7690.488109,7483.644671,0,
NLD,6682.405151,7003.394629,7300.991304,7278.166596,8039.076823,8741.955011,9304.360005,9341.778917,9317.299029,9919.883883,9626.07626,9451.676606,9686.465382,10174.36598,10568.12918,11047.20557,11549.51779,11415.15391,12545.63226,12835.1425,13179.97706,12836.08624,13139.38613,13438.63579,13598.2274,13805.44983,13747.16603,13645.14551,13493.23244,13989.1482,15684.04367,15810.88401,15902.29927,16511.52118,16913.37293,17388.32313,17771.08187,19849.20089,0,
NOR,1500.539465,1589.808104,1691.476844,1913.79835,2134.572028,2200,2304.104984,2325,2354.03684,2400,2424.989372,2500,2641.414098,2700,2832.605178,2950,3106.443803,3150,3290.097331,3450,3691.734779,3776.739866,3930.819615,3882.433568,4058.427405,4280.700969,4689.399392,4934.390285,4958.113929,4886.47385,5041.851874,5200.451701,5350.640257,5534.255865,6063.453986,6259.68231,6684.645234,6863.121649,0,
POL,0,0,0,0,0,0,0,0,0,3574.753256,2794.080406,2945.392862,3054.00426,2957.460196,2863.860104,3143.305595,3365.983782,3612.657422,3900.337426,3840.20069,3771.975573,3447.335736,3448.499443,3717.616937,3919.230164,4072.734544,4446.835837,4943.710102,5607.094153,6334.261187,6884.566602,8261.096749,8277.903396,9232.900983,10234.76195,10136.66383,11413.39406,14059.14162,0,
PRT,0,455.6214997,498.8723442,506.9894701,574.1083667,607.503999,691.2578029,747.2871853,926.2427867,1039.63559,1201.800845,1309.349775,1276.501931,1245.624314,1260.727179,1387.655315,1486.278351,1726.612871,1955.854581,2150.777546,2324.023006,2210.321311,2117.505356,2251.971563,2357.486291,3018.608376,3644.383639,4694.042113,4978.072365,4921.237665,4592.359936,4167.783636,3967.795169,3894.28785,3820.809233,4015.386989,4281.228702,4514.306453,0,
SVK,0,0,0,0,0,0,0,0,0,0,0,1117.522181,878.8040448,611.9590637,669.050231,703.2421062,880.1071955,667.0302897,561.2828231,561.9421937,568.0297339,535.1851715,562.9262925,528.5048671,555.2088173,579.8522728,605.5515682,659.1935669,638.5607091,873.2364655,966.2888801,1192.089704,1238.013167,1359.679853,1886.936929,1310.709889,1513.468402,1487.159783,0,
ESP,2908.083416,3375.728167,3383.675908,3577.509072,4055.077694,4653.914987,5122.420289,6034.850155,6658.801693,7785.929556,8196.479276,8651.171935,8543.657314,8088.089924,8305.958556,8712.300971,8923.298629,10156.38567,10493.59714,11626.57416,12160.09864,13495.9465,14825.48094,15544.66519,17020.64141,18967.175,20711.15418,22317.64835,22104.10092,22080.50854,21473.02842,20296.26144,19642.36193,19397.29662,19820.5819,19888.77937,20806.50855,21873.13101,0,
TUR,0,0,0,0,0,0,0,0,0,1587.307563,2608.632199,2563.098589,2502.918941,1932.750638,2177.577886,2767.962844,3240.630635,3388.184204,4124.805728,4508.302575,4770.052975,4947.122739,4781.604638,5607.951493,6930.81797,7269.509297,9474.863441,9570.181188,10653.01616,11407.55255,12690.55956,13835.17867,14758.32383,16328.06741,17739.02962,19614.86634,21418.11872,23741.06216,0,
GBR,27671.29156,27400,27102.00809,28000,29217.81213,30340.03457,30770.03912,31551.22704,32243.44962,32375.95185,30780.80813,30366.05292,31525.8931,32259.50607,29732.48145,29171.46537,29508.54715,30822.06143,33458.19724,34378.6403,35130.77614,36175.76364,36610.86546,36329.13869,37948.43884,39518.61363,41500.95323,41380.14958,41060.20378,41219.36427,41954.69381,40705.62039,42713.20873,44452.52536,45678.19893,46847.22174,48308.30874,50372.98676,0,
USA,164634.5295,172992.8725,185418.1604,203650.1547,221094.9507,226780.4448,232514.8094,237953.8455,242666.9132,250625.5146,256743.4188,257939.6146,252443.4426,252321.7191,268215.5394,283017.5299,299202.1755,315658.9036,336689.3267,361468.8941,367786.1081,361610.9314,372726.1461,377514.7631,393047.9856,410802.0532,430612.4821,452297.1339,447957.0259,446815.5667,458696.7677,454837.1856,468062.7725,481420.5656,495094,511296.6581,533313.1341,551517.7452,0,
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055.186196,2233.198084,2272.59986,2418.914051,2322.343439,2147.359922,1760.02267,2017.24371,2344.229975,2659.078431,3087.544977,3424.54267,3644.649658,4277.948554,4526.516507,4843.271213,5379.05212,5365.810162,4980.140328,5341.083492,4482.951341,4836.365126,0,0,
CHN,0,0,0,0,0,0,0,0,0,0,13118.64808,15058.45834,16372.65844,16762.17982,16789.9872,18286.56015,22652.90503,24742.51822,30869.06679,39902.10123,45511.1072,55875.79085,65117.57654,77758.7833,93244.49939,109977.6987,126101.8982,145541.5875,183322.6117,208781.1467,237613.0941,275272.0433,309949.1162,336668.3085,366070.8755,398951.6412,429092.3721,462577.5696,0,
ISR,0,0,0,0,0,0,0,0,0,0,2459.159036,2718.293174,2953.125124,3241.265514,3466.043588,3874.78697,4369.540901,4735.14867,5597.721344,7196.485762,7669.121571,7556.239026,7200.198982,7514.771317,8179.2344,8850.174846,10024.58492,10171.27778,9780.199954,9832.076254,10521.13401,11162.49485,11456.23218,12115.08414,12666.26621,13931.8531,15403.6001,16345.75327,0,
ROU,0,0,0,0,0,0,0,0,0,0,1792.978606,1764.857105,1926.846907,1695.675117,1877.387601,1735.625106,1406.187642,1187.96293,951.5607211,896.496812,1007.749364,1026.8909,1106.283092,1198.092211,1328.732613,1589.155902,1908.031392,2251.449719,1710.372807,1691.525876,1881.97361,1865.218251,1547.836457,1577.409006,2091.487503,2157.73353,2421.331093,2516.439562,0,
