id	magnitude	location	date	time	latitude	longitude
ak:0213hz7dzy	2.5	58 km ENE of Ugashik, Alaska	2021-03-17	17:40:34	57.6995	-156.4873
ak:0213hz5lvu	1.3	73 km WNW of Ninilchik, Alaska	2021-03-17	17:32:01	60.3369	-152.862
ak:0213hz33z1	1.9	68 km NNW of Huslia, Alaska	2021-03-17	17:20:36	66.2224	-157.1948
nc:73538525	0.9	2km SW of Cobb, CA	2021-03-17	17:20:21	38.8071671	-122.7366638
hv:72387172	1.8	4 km SE of Pāhala, Hawaii	2021-03-17	17:18:28	19.1788330078125	-155.441329956055
ci:39582503	1.3	4km ENE of Cabazon, CA	2021-03-17	17:11:08	33.9361649	-116.75
ci:39582487	1.9	5km SW of Salton City, CA	2021-03-17	17:00:14	33.2683333	-115.9953333
ak:0213hyp7g7	1.6	56 km SSW of Cantwell, Alaska	2021-03-17	16:55:49	62.9619	-149.5501
nc:73538510	1.6	12km NNE of Round Valley, CA	2021-03-17	16:49:48	37.5144997	-118.5356674
ci:39582455	0.6	21km ESE of Little Lake, CA	2021-03-17	16:47:14	35.879	-117.6838333
ak:0213hyn6va	1.8	70 km ENE of Chase, Alaska	2021-03-17	16:46:09	62.6946	-148.828
ak:0213hylcor	1.3	109 km S of McCarthy, Alaska	2021-03-17	16:37:51	60.4551	-142.9172
ci:39582439	1.2	10km E of Yucaipa, CA	2021-03-17	16:33:36	34.0431667	-116.9358333
mb:80492044	2.7	21 km WNW of Stanley, Idaho	2021-03-17	16:23:30	44.288	-115.1936667
us:7000dkb2	4.9	74 km NNE of Tobelo, Indonesia	2021-03-17	16:20:49	2.312	128.3456
nc:73538490	0.8	4km NNW of The Geysers, CA	2021-03-17	16:15:28	38.8058319	-122.7750015
ci:39582415	1.9	18km SW of Dana Point, CA	2021-03-17	16:13:57	33.3451653	-117.8310013
nn:00802793	1.1	41 km SE of Mina, Nevada	2021-03-17	16:12:55	38.1067	-117.8087
ak:0213hyf2m6	1.4	110 km S of McCarthy, Alaska	2021-03-17	16:08:21	60.4405	-142.8682
nn:00802792	1.4	7 km NW of Rachel, Nevada	2021-03-17	16:04:28	37.6907	-115.8072
ci:39582407	1.8	6km WSW of El Segundo, CA	2021-03-17	16:00:39	33.9015	-118.473
ak:0213hydcj9	1.6	71 km W of Aleneva, Alaska	2021-03-17	16:00:17	58.1811	-154.0971
ak:0213hy4foc	1.7	71 km WNW of Aleneva, Alaska	2021-03-17	15:58:58	58.191	-154.0929
hv:72387102	2.0	5 km SSE of Pāhala, Hawaii	2021-03-17	15:55:56	19.1630001068115	-155.452331542969
nc:73538485	0.8	9km WNW of The Geysers, CA	2021-03-17	15:54:17	38.8191681	-122.8434982
hv:72387087	2.3	26 km E of Honaunau	2021-03-17	15:46:18	19.4640007019043	-155.614166259766
hv:72387082	2.3	27 km E of Honaunau	2021-03-17	15:46:15	19.4606666564941	-155.598663330078
nc:73538470	1.3	6km NNW of The Geysers, CA	2021-03-17	15:37:20	38.8214989	-122.7884979
nc:73538475	0.3	14km W of Toms Place, CA	2021-03-17	15:35:00	37.5553333	-118.8386667
hv:72387072	1.9	3 km S of Pāhala, Hawaii	2021-03-17	15:24:00	19.1760005950928	-155.484161376953
ak:0213hxwftg	2.0	56 km NW of Aleneva, Alaska	2021-03-17	15:21:28	58.418	-153.5875
ci:39582351	1.8	3km WNW of Valle Vista, CA	2021-03-17	15:17:31	33.7621667	-116.924
hv:72387062	2.3	0 km N of Volcano, Hawaii	2021-03-17	15:12:57	19.451000213623	-155.23567199707
ci:39582335	1.4	6km S of Pearblossom, CA	2021-03-17	15:11:58	34.4555	-117.9068333
nc:73538460	0.4	9km NW of The Geysers, CA	2021-03-17	15:05:56	38.836834	-122.8278351
nm:60327732	2.0	4 km S of New Madrid, Missouri	2021-03-17	14:59:49	36.5491667	-89.5355
uw:61718521	0.4	25 km ENE of Ashford, Washington	2021-03-17	14:41:13	46.881	-121.7495
uw:61718516	0.3	4 km NE of Government Camp, Oregon	2021-03-17	14:38:34	45.3291666666667	-121.714333333333
ak:0213hxdttd	1.9	4 km SW of Point MacKenzie, Alaska	2021-03-17	14:34:45	61.3268	-150.0408
ak:0213hxd40h	1.6	6 km SSE of Central, Alaska	2021-03-17	14:31:10	65.5219	-144.7496
hv:72387007	1.7	6 km ESE of Pāhala, Hawaii	2021-03-17	14:25:12	19.1881675720215	-155.415832519531
nc:73538445	3.6	99km W of Trinidad, CA	2021-03-17	14:21:58	41.1561667	-125.3175
ak:0213hxaumr	2.8	40 km E of Skwentna, Alaska	2021-03-17	14:20:56	61.9973	-150.6209
nc:73538440	1.2	9km WNW of The Geysers, CA	2021-03-17	14:19:15	38.8188324	-122.8411636
ak:0213hxa7g3	1.3	8 km SSW of Trapper Creek, Alaska	2021-03-17	14:17:55	62.2435	-150.2925
ci:39582287	2.0	3km ESE of La Habra Heights, CA	2021-03-17	14:16:33	33.9515	-117.9213333
nn:00802788	0.7	23 km S of Mina, Nevada	2021-03-17	14:01:04	38.1797	-118.108
ak:0213hwsy14	2.2	8 km SSE of Talkeetna, Alaska	2021-03-17	13:37:02	62.2455	-150.07
hv:72386937	2.9	0 km W of Volcano, Hawaii	2021-03-17	13:33:15	19.4431667327881	-155.237167358398
hv:72386932	2.7	26 km E of Honaunau	2021-03-17	13:27:48	19.4673328399658	-155.613159179688
hv:72386927	2.7	3 km SSW of Pāhala, Hawaii	2021-03-17	13:27:09	19.1723327636719	-155.487167358398
uw:61718496	0.5	5 km WSW of Mossyrock, Washington	2021-03-17	13:13:03	46.503	-122.551
ci:39582215	0.6	22km ESE of Little Lake, CA	2021-03-17	13:10:39	35.8725	-117.674
us:7000dk9s	4.7	176 km SSE of Ust’	2021-03-17	12:49:53	54.6887	163.1283
hv:72386907	2.4	22 km ENE of Honaunau	2021-03-17	12:38:06	19.5063323974609	-155.661331176758
us:7000dk9n	4.8	185 km SSE of Ust’	2021-03-17	12:32:42	54.6014	163.1412
us:7000dk9g	4.9	188 km S of Ust’	2021-03-17	12:32:16	54.5701	163.0565
nc:73538420	0.4	12km N of Mineral, CA	2021-03-17	12:11:28	40.4613333	-121.5493333
nc:73538415	0.2	12km ESE of Viola, CA	2021-03-17	12:09:10	40.4688333	-121.5441667
mb:80492029	1.6	22 km WNW of Stanley, Idaho	2021-03-17	12:03:54	44.2973333	-115.1933333
uw:61718491	2.3	13 km S of Neah Bay, Washington	2021-03-17	11:57:06	48.2451666666667	-124.596166666667
nc:73538400	1.5	10km NNE of Alum Rock, CA	2021-03-17	11:53:05	37.4459991	-121.7851639
mb:80492024	2.1	22 km WNW of Stanley, Idaho	2021-03-17	11:42:36	44.284	-115.1995
mb:80492019	1.5	21 km WNW of Stanley, Idaho	2021-03-17	11:40:48	44.2906667	-115.1915
